32,Threads Styling,http://www.fasttrack.co.uk/company_profile/threads-styling-2/,Online fashion services,East London,Dec-17,107.88%,12672,55,Some three-quarters of its sales are to fashionistas in the Middle East
33,Prodigy Finance,http://www.fasttrack.co.uk/company_profile/prodigy-finance-2/,Student finance provider,Central London,Dec-17,105.94%,10273,133,"More than 10,000 students have used its platform to fund their postgraduate studies"
34,Azimo,http://www.fasttrack.co.uk/company_profile/azimo/,Online money transfers,Central London,Jun-17,103.79%,5870,115,Recently launched its international money transfer service for businesses
35,Chameleon,http://www.fasttrack.co.uk/company_profile/chameleon-2/,Smart energy monitoring,Harrogate,Dec-17,101.10%,19890,32,About 2.5m of its energy display units have been installed in UK homes
36,SuperAwesome,http://www.fasttrack.co.uk/company_profile/superawesome-2/,Children's privacy protection,Central London,Dec-17,97.91%,14935,130,"Last month it signed a deal with Pokémon Go, allowing parents to manage their child’s privacy settings"
37,Gousto,http://www.fasttrack.co.uk/company_profile/gousto/,Meal kit delivery services,West London,Dec-17,97.32%,23300,400,Aims to provide the ingredients for 400m meals in UK homes by 2025
38,Vizolution,http://www.fasttrack.co.uk/company_profile/vizolution/,Business software developer,Swansea,Dec-17,94.99%,6965,118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
39,MoveGB,http://www.fasttrack.co.uk/company_profile/movegb/,Activity membership,Bath,Dec-17,94.93%,5029,41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
40,BBOXX,http://www.fasttrack.co.uk/company_profile/bboxx-3/,Solar system manufacturer,West London,Dec-17,93.35%,20416,443,Has raised almost $70m in venture funding and debt financing
41,Funding Circle,http://www.fasttrack.co.uk/company_profile/funding-circle-4/,Peer-to-peer lending platform,Central London,Dec-17,93.21%,94500,790,Is planning an IPO in London this autumn that will value it at more than £1.5bn 
42,LoopMe,http://www.fasttrack.co.uk/company_profile/loopme-2/,Advertising technology developer,Central London,Dec-17,93.04%,24493,91,Says its AI technology reaches 2bn devices around the world
43,Kano,http://www.fasttrack.co.uk/company_profile/kano-3/,Educational computer developer,East London,Dec-17,91.81%,13000,60,Has customers in 150 countries and aims to have 100m global users by 2020
44,Capital on Tap,http://www.fasttrack.co.uk/company_profile/capital-on-tap-2/,Business finance provider,West London,Mar-18,88.73%,17318,56,"This company’s founders also set up Paymentsense, No 91 in the league table"
45,Hutch,http://www.fasttrack.co.uk/company_profile/hutch/,Video games developer,Central London,Sep-17,88.63%,8766 (2017),51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
46,ENSEK,http://www.fasttrack.co.uk/company_profile/ensek/,Energy software developer,Nottingham,Mar-18,87.56%,6161,110,A fifth of the UK’s energy suppliers are said to use this company’s software
47,MiQ,http://www.fasttrack.co.uk/company_profile/miq-3/,Digital marketing agency,Central London,Dec-17,87.36%,155876,561,"Relocated its New York base in April, tripling its office space"
48,StarLeaf,http://www.fasttrack.co.uk/company_profile/starleaf-2/,Video conferencing platform,Watford,Dec-17,86.89%,11427,133,Its founders set up the Tech Track 100 alumnus Codian and sold it for $270m in 2007
49,BigChange,http://www.fasttrack.co.uk/company_profile/bigchange/,Management software developer,Leeds,Dec-17,86.45%,6566,41,Last year its technology saved 15m sheets of paper and facilitated 9m tasks
50,The Lead Agency,http://www.fasttrack.co.uk/company_profile/the-lead-agency/,Lead generation developer,Liverpool,Dec-17,80.38%,6383,96,Works with every large automotive brand in the UK
51,UNiDAYS,http://www.fasttrack.co.uk/company_profile/unidays-3/,Student verification services,Nottingham,Apr-18,80.03%,27400,210,Connects brands with 10m students in 114 countries
52,Farfetch,http://www.fasttrack.co.uk/company_profile/farfetch-3/,Online fashion platform,East London,Dec-17,78.31%,299812,"2,700",Has announced plans to float in the US with a reported $5bn valuation
53,Assetz Capital,http://www.fasttrack.co.uk/company_profile/assetz-capital/,Peer-to-peer lending platform,Manchester,Mar-18,77.91%,13700,98,"Has funded the construction of 1,800 new homes since 2013"
54,iPulse,http://www.fasttrack.co.uk/company_profile/ipulse-3/,Hair removal technology,Swansea,Dec-17,77.12%,32874,39,Almost 95% of its hair removal devices are sold overseas
55,Giacom,http://www.fasttrack.co.uk/company_profile/giacom-2/,Cloud services provider,Hull,Jul-17,76.14%,13883,49,"It now reaches more than 500,000 end users across the UK"
56,Arcus Global,http://www.fasttrack.co.uk/company_profile/arcus-global/,Cloud IT developer,Cambridge,Jun-17,75.57%,9681,110,"In May it secured a £3m investment from the private equity firm YFM, valuing it at £27m"
57,disguise,http://www.fasttrack.co.uk/company_profile/disguise/,Live event technology provider,Central London,Dec-17,75.46%,17971,59,Customers include the likes of Disney and Universal Studios
58,Tech21,http://www.fasttrack.co.uk/company_profile/tech21-7/,Device impact protection maker,Southwest London,May-17,75.34%,121576,81,Became an inaugural member of Google’s certified accessories programme last year
59,Victor,http://www.fasttrack.co.uk/company_profile/victor-5/,Online private jet hire,Central London,Dec-17,74.13%,41508,113,Counts Sir Elton John among its investors
60,Cinesite,http://www.fasttrack.co.uk/company_profile/cinesite-2/,Visual effects and animation,Central London,Apr-17,74.11%,43888,699,Is producing visual effects for Mary Poppins Returns and the Marvel franchise
